Group,Parent,PARslot,PARwell,Seq,PARseq,STDvol,DILvol,Name,Active,,,
STD,INT1,7,A1,0,0,250,0,example,1,,,
STD,STD8,4,A3,1,0,21,2079,example,1,,,
STD,STD7,4,A4,2,0,21,3479,example,1,,,
STD,STD6,4,B1,3,0,1470,1470,example,1,,,
STD,STD5,4,B2,4,0,1470,1470,example,1,,,
STD,STD4,4,B4,5,0,1050,2887,example,1,,,
STD,STD3,4,C1,6,0,1050,3150,example,1,,,
STD,STD2,4,C3,7,4,1050,1575,example,1,,,
STD,STD1,4,C4,8,4,1050,1050,example,1,,,
QC,INT2,7,A2,0,0,250,0,example,1,,,
QC,HQC,4,A5,2,0,21,2604,example,1,,,
QC,MQC,4,B3,3,0,315,3284,example,1,,,
QC,LQC,4,C2,4,3,315,3360,example,1,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,, 
